10.10.0.129 : [0], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [1], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [2], 221 bytes, 1348 ms (1347 avg, 0% loss)
10.10.0.129 : [3], 221 bytes, 1348 ms (1347 avg, 0% loss)
10.10.0.129 : [4], 221 bytes, 1348 ms (1348 avg, 0% loss)
10.10.0.129 : [5], 221 bytes, 1348 ms (1348 avg, 0% loss)
10.10.0.129 : [6], 221 bytes, 1348 ms (1348 avg, 0% loss)
10.10.0.129 : [7], 221 bytes, 1347 ms (1348 avg, 0% loss)
10.10.0.129 : [8], 221 bytes, 1347 ms (1348 avg, 0% loss)
10.10.0.129 : [9], 221 bytes, 1347 ms (1348 avg, 0% loss)
10.10.0.129 : [10], 221 bytes, 1347 ms (1348 avg, 0% loss)
10.10.0.129 : [11], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [12], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [13], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [14], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [15], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [16], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [17], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [18], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [19], 221 bytes, 1348 ms (1347 avg, 0% loss)
10.10.0.129 : [20], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [21], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [22], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [23], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [24], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [25], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [26], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [27], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [28], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [29], 221 bytes, 1348 ms (1347 avg, 0% loss)
10.10.0.129 : [30], 221 bytes, 1348 ms (1347 avg, 0% loss)
10.10.0.129 : [31], 221 bytes, 1348 ms (1347 avg, 0% loss)
10.10.0.129 : [32], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [33], 221 bytes, 1347 ms (1347 avg, 0% loss)
10.10.0.129 : [34], 221 bytes, 1347 ms (1347 avg, 0% loss)
