143.54.48.17 : [0], 220 bytes, 307 ms (307 avg, 0% loss)
143.54.48.17 : [1], 220 bytes, 316 ms (311 avg, 0% loss)
143.54.48.17 : [2], 220 bytes, 316 ms (313 avg, 0% loss)
143.54.48.17 : [3], 220 bytes, 316 ms (314 avg, 0% loss)
143.54.48.17 : [4], 220 bytes, 316 ms (314 avg, 0% loss)
143.54.48.17 : [5], 220 bytes, 316 ms (315 avg, 0% loss)
143.54.48.17 : [6], 220 bytes, 316 ms (315 avg, 0% loss)
143.54.48.17 : [7], 220 bytes, 316 ms (315 avg, 0% loss)
143.54.48.17 : [8], 220 bytes, 320 ms (316 avg, 0% loss)
143.54.48.17 : [9], 220 bytes, 317 ms (316 avg, 0% loss)
143.54.48.17 : [10], 220 bytes, 317 ms (316 avg, 0% loss)
143.54.48.17 : [11], 220 bytes, 317 ms (316 avg, 0% loss)
143.54.48.17 : [12], 220 bytes, 317 ms (316 avg, 0% loss)
143.54.48.17 : [13], 220 bytes, 317 ms (316 avg, 0% loss)
143.54.48.17 : [14], 220 bytes, 317 ms (316 avg, 0% loss)
143.54.48.17 : [15], 220 bytes, 317 ms (316 avg, 0% loss)
143.54.48.17 : [16], 220 bytes, 317 ms (316 avg, 0% loss)
143.54.48.17 : [17], 220 bytes, 317 ms (316 avg, 0% loss)
143.54.48.17 : [18], 220 bytes, 317 ms (316 avg, 0% loss)
143.54.48.17 : [19], 220 bytes, 317 ms (316 avg, 0% loss)
143.54.48.17 : [20], timed out (316 avg, 4% loss)
143.54.48.17 : [21], 220 bytes, 320 ms (316 avg, 4% loss)
143.54.48.17 : [22], 220 bytes, 320 ms (317 avg, 4% loss)
143.54.48.17 : [23], 220 bytes, 320 ms (317 avg, 4% loss)
143.54.48.17 : [24], 220 bytes, 319 ms (317 avg, 4% loss)
143.54.48.17 : [25], 220 bytes, 319 ms (317 avg, 3% loss)
143.54.48.17 : [26], 220 bytes, 317 ms (317 avg, 3% loss)
143.54.48.17 : [27], 220 bytes, 317 ms (317 avg, 3% loss)
143.54.48.17 : [28], 220 bytes, 316 ms (317 avg, 3% loss)
143.54.48.17 : [29], 220 bytes, 316 ms (317 avg, 3% loss)
143.54.48.17 : [30], 220 bytes, 317 ms (317 avg, 3% loss)
143.54.48.17 : [31], 220 bytes, 317 ms (317 avg, 3% loss)
143.54.48.17 : [32], 220 bytes, 317 ms (317 avg, 3% loss)
143.54.48.17 : [33], 220 bytes, 317 ms (317 avg, 2% loss)
143.54.48.17 : [34], 220 bytes, 316 ms (317 avg, 2% loss)
