10.10.0.129 : [0], 220 bytes, 307 ms (307 avg, 0% loss)
10.10.0.129 : [1], 220 bytes, 316 ms (312 avg, 0% loss)
10.10.0.129 : [2], 220 bytes, 317 ms (313 avg, 0% loss)
10.10.0.129 : [3], 220 bytes, 320 ms (315 avg, 0% loss)
10.10.0.129 : [4], 220 bytes, 318 ms (315 avg, 0% loss)
10.10.0.129 : [5], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [6], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [7], 220 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [8], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [9], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [10], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [11], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [12], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [13], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [14], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [15], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [16], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [17], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [18], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [19], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [20], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [21], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [22], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [23], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [24], 220 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [25], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [26], 220 bytes, 317 ms (316 avg, 0% loss)
10.10.0.129 : [27], 220 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [28], 220 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [29], 220 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [30], 220 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [31], 220 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [32], 220 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [33], 220 bytes, 316 ms (316 avg, 0% loss)
10.10.0.129 : [34], 220 bytes, 316 ms (316 avg, 0% loss)
