143.54.48.17 : [0], 220 bytes, 1344 ms (1344 avg, 0% loss)
143.54.48.17 : [1], 220 bytes, 1343 ms (1344 avg, 0% loss)
143.54.48.17 : [2], 220 bytes, 1344 ms (1344 avg, 0% loss)
143.54.48.17 : [3], 220 bytes, 1343 ms (1344 avg, 0% loss)
143.54.48.17 : [4], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [5], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [6], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [7], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [8], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [9], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [10], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [11], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [12], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [13], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [14], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [15], 220 bytes, 1343 ms (1343 avg, 0% loss)
143.54.48.17 : [16], 220 bytes, 1347 ms (1344 avg, 0% loss)
143.54.48.17 : [17], 220 bytes, 1484 ms (1351 avg, 0% loss)
143.54.48.17 : [18], 220 bytes, 1344 ms (1351 avg, 0% loss)
143.54.48.17 : [19], 220 bytes, 1343 ms (1351 avg, 0% loss)
143.54.48.17 : [20], 220 bytes, 1344 ms (1350 avg, 0% loss)
143.54.48.17 : [21], 220 bytes, 1343 ms (1350 avg, 0% loss)
143.54.48.17 : [22], 220 bytes, 1343 ms (1350 avg, 0% loss)
143.54.48.17 : [23], 220 bytes, 1343 ms (1349 avg, 0% loss)
143.54.48.17 : [24], 220 bytes, 1343 ms (1349 avg, 0% loss)
143.54.48.17 : [25], 220 bytes, 1343 ms (1349 avg, 0% loss)
143.54.48.17 : [26], 220 bytes, 1343 ms (1349 avg, 0% loss)
143.54.48.17 : [27], 220 bytes, 1343 ms (1348 avg, 0% loss)
143.54.48.17 : [28], 220 bytes, 1343 ms (1348 avg, 0% loss)
143.54.48.17 : [29], 220 bytes, 1343 ms (1348 avg, 0% loss)
143.54.48.17 : [30], 220 bytes, 1343 ms (1348 avg, 0% loss)
143.54.48.17 : [31], 220 bytes, 1343 ms (1348 avg, 0% loss)
143.54.48.17 : [32], 220 bytes, 1343 ms (1348 avg, 0% loss)
143.54.48.17 : [33], 220 bytes, 1343 ms (1347 avg, 0% loss)
143.54.48.17 : [34], 220 bytes, 1343 ms (1347 avg, 0% loss)
