143.54.48.17 : [0], 30 bytes, 306 ms (306 avg, 0% loss)
143.54.48.17 : [1], 30 bytes, 316 ms (311 avg, 0% loss)
143.54.48.17 : [2], 30 bytes, 316 ms (313 avg, 0% loss)
143.54.48.17 : [3], 30 bytes, 317 ms (314 avg, 0% loss)
143.54.48.17 : [4], 30 bytes, 321 ms (315 avg, 0% loss)
143.54.48.17 : [5], 30 bytes, 318 ms (316 avg, 0% loss)
143.54.48.17 : [6], 30 bytes, 318 ms (316 avg, 0% loss)
143.54.48.17 : [7], 30 bytes, 318 ms (316 avg, 0% loss)
143.54.48.17 : [8], 30 bytes, 318 ms (316 avg, 0% loss)
143.54.48.17 : [9], 30 bytes, 318 ms (317 avg, 0% loss)
143.54.48.17 : [10], 30 bytes, 318 ms (317 avg, 0% loss)
143.54.48.17 : [11], 30 bytes, 318 ms (317 avg, 0% loss)
143.54.48.17 : [12], 30 bytes, 318 ms (317 avg, 0% loss)
143.54.48.17 : [13], 30 bytes, 319 ms (317 avg, 0% loss)
143.54.48.17 : [14], 30 bytes, 318 ms (317 avg, 0% loss)
143.54.48.17 : [15], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [16], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [17], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [18], 30 bytes, 317 ms (317 avg, 0% loss)
143.54.48.17 : [19], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [20], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [21], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [22], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [23], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [24], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [25], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [26], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [27], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [28], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [29], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [30], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [31], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [32], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [33], 30 bytes, 316 ms (317 avg, 0% loss)
143.54.48.17 : [34], 30 bytes, 316 ms (317 avg, 0% loss)
