10.10.0.129 : [0], 94 bytes, 307 ms (307 avg, 0% loss)
10.10.0.129 : [1], 94 bytes, 316 ms (311 avg, 0% loss)
10.10.0.129 : [2], 94 bytes, 316 ms (313 avg, 0% loss)
10.10.0.129 : [3], 94 bytes, 316 ms (313 avg, 0% loss)
10.10.0.129 : [4], 94 bytes, 316 ms (314 avg, 0% loss)
10.10.0.129 : [5], 94 bytes, 316 ms (314 avg, 0% loss)
10.10.0.129 : [6], 94 bytes, 316 ms (314 avg, 0% loss)
10.10.0.129 : [7], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [8], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [9], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [10], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [11], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [12], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [13], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [14], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [15], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [16], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [17], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [18], 94 bytes, 316 ms (315 avg, 0% loss)
10.10.0.129 : [19], timed out (315 avg, 5% loss)
10.10.0.129 : [20], 94 bytes, 316 ms (315 avg, 4% loss)
10.10.0.129 : [21], 94 bytes, 316 ms (315 avg, 4% loss)
10.10.0.129 : [22], 94 bytes, 316 ms (315 avg, 4% loss)
10.10.0.129 : [23], 94 bytes, 317 ms (316 avg, 4% loss)
10.10.0.129 : [24], 94 bytes, 316 ms (316 avg, 4% loss)
10.10.0.129 : [25], 94 bytes, 316 ms (316 avg, 3% loss)
10.10.0.129 : [26], 94 bytes, 316 ms (316 avg, 3% loss)
10.10.0.129 : [27], 94 bytes, 316 ms (316 avg, 3% loss)
10.10.0.129 : [28], 94 bytes, 318 ms (316 avg, 3% loss)
10.10.0.129 : [29], 94 bytes, 319 ms (316 avg, 3% loss)
10.10.0.129 : [30], 94 bytes, 317 ms (316 avg, 3% loss)
10.10.0.129 : [31], 94 bytes, 316 ms (316 avg, 3% loss)
10.10.0.129 : [32], 94 bytes, 317 ms (316 avg, 3% loss)
10.10.0.129 : [33], 94 bytes, 316 ms (316 avg, 2% loss)
10.10.0.129 : [34], 94 bytes, 316 ms (316 avg, 2% loss)
