10.10.0.129 : [0], 220 bytes, 1344 ms (1344 avg, 0% loss)
10.10.0.129 : [1], 220 bytes, 1343 ms (1343 avg, 0% loss)
10.10.0.129 : [2], 220 bytes, 1343 ms (1343 avg, 0% loss)
10.10.0.129 : [3], 220 bytes, 1343 ms (1343 avg, 0% loss)
10.10.0.129 : [4], 220 bytes, 1343 ms (1343 avg, 0% loss)
10.10.0.129 : [5], 220 bytes, 1343 ms (1343 avg, 0% loss)
10.10.0.129 : [6], 220 bytes, 1343 ms (1343 avg, 0% loss)
10.10.0.129 : [7], 220 bytes, 1347 ms (1344 avg, 0% loss)
10.10.0.129 : [8], timed out (1344 avg, 11% loss)
10.10.0.129 : [9], 220 bytes, 1343 ms (1344 avg, 10% loss)
10.10.0.129 : [10], 220 bytes, 1343 ms (1344 avg, 9% loss)
10.10.0.129 : [11], 220 bytes, 1343 ms (1344 avg, 8% loss)
10.10.0.129 : [12], 220 bytes, 1634 ms (1368 avg, 7% loss)
10.10.0.129 : [13], 220 bytes, 1343 ms (1366 avg, 7% loss)
10.10.0.129 : [14], 220 bytes, 1344 ms (1364 avg, 6% loss)
10.10.0.129 : [15], 220 bytes, 1343 ms (1363 avg, 6% loss)
10.10.0.129 : [16], 220 bytes, 1344 ms (1362 avg, 5% loss)
10.10.0.129 : [17], 220 bytes, 1343 ms (1361 avg, 5% loss)
10.10.0.129 : [18], 220 bytes, 1344 ms (1360 avg, 5% loss)
10.10.0.129 : [19], 220 bytes, 1343 ms (1359 avg, 5% loss)
10.10.0.129 : [20], 220 bytes, 1344 ms (1358 avg, 4% loss)
10.10.0.129 : [21], 220 bytes, 1345 ms (1357 avg, 4% loss)
10.10.0.129 : [22], 220 bytes, 1392 ms (1359 avg, 4% loss)
10.10.0.129 : [23], 220 bytes, 1343 ms (1358 avg, 4% loss)
10.10.0.129 : [24], 220 bytes, 1344 ms (1358 avg, 4% loss)
10.10.0.129 : [25], 220 bytes, 1344 ms (1357 avg, 3% loss)
10.10.0.129 : [26], 220 bytes, 1344 ms (1357 avg, 3% loss)
10.10.0.129 : [27], 220 bytes, 1343 ms (1356 avg, 3% loss)
10.10.0.129 : [28], 220 bytes, 1344 ms (1356 avg, 3% loss)
10.10.0.129 : [29], 220 bytes, 1343 ms (1355 avg, 3% loss)
10.10.0.129 : [30], 220 bytes, 1343 ms (1355 avg, 3% loss)
10.10.0.129 : [31], 220 bytes, 1343 ms (1354 avg, 3% loss)
10.10.0.129 : [32], 220 bytes, 1343 ms (1354 avg, 3% loss)
10.10.0.129 : [33], 220 bytes, 1343 ms (1354 avg, 2% loss)
10.10.0.129 : [34], 220 bytes, 1343 ms (1353 avg, 2% loss)
